field.status.status,field.latitude,field.longitude
1,33.5955789389,130.219073511
1,33.5955794548,130.219072911
1,33.5955800409,130.219072459
1,33.5955806909,130.219072186
1,33.5955812915,130.219071823
1,33.595581981,130.219071639
1,33.5955826083,130.219071373
1,33.5955833226,130.21907103
1,33.5955839256,130.219070531
1,33.59558447,130.219070113
1,33.5955849544,130.219069709
1,33.5955853723,130.219069267
1,33.5955859359,130.21906877
1,33.5955864964,130.21906817
1,33.5955871162,130.219067522
1,33.5955876835,130.219066901
1,33.595588246,130.219066349
1,33.5955888579,130.21906591
1,33.5955895036,130.219065499
1,33.5955901427,130.219065182
1,33.5955908631,130.219064824
1,33.5955916149,130.219064303
1,33.5955923644,130.219063706
1,33.5955929715,130.219063193
1,33.5955935411,130.219062813
1,33.5955941283,130.219062232
1,33.595594678,130.219061548
1,33.5955951916,130.219060967
1,33.5955956785,130.219060243
1,33.5955961262,130.219059705
1,33.595596488,130.219059237
1,33.5955970364,130.219058875
1,33.5955975843,130.219058498
1,33.5955982909,130.219058094
1,33.5955990218,130.219057706
1,33.5955998062,130.219057217
1,33.5956005609,130.219056827
1,33.5956012969,130.219056417
1,33.5956018427,130.219056048
1,33.5956023493,130.219055734
1,33.5956029333,130.219055382
1,33.5956034652,130.219054856
1,33.5956040879,130.219054349
1,33.5956046355,130.219053737
1,33.5956052607,130.21905305
1,33.5956058114,130.219052623
1,33.5956064274,130.21905232
1,33.5956071156,130.219052111
1,33.5956077611,130.219051814
1,33.5956085366,130.21905136
1,33.5956092869,130.21905081
